date,cocoa_price_euro
2023-12-29,160.0
2023-12-28,216.0
2023-12-26,241.0
2023-12-22,263.67
2023-12-21,246.67
2023-12-20,254.0
2023-12-19,239.33
2023-12-18,231.33
2023-12-15,200.0
2023-12-15,200.0
2023-12-14,214.67
2023-12-13,184.67
2023-12-12,169.33
2023-12-11,138.33
2023-12-07,162.67
2023-12-05,72.0
2023-12-04,112.67
2023-12-01,168.33
2023-11-30,241.67
2023-11-29,230.0
2023-11-28,168.33
2023-11-27,99.0
2023-11-24,51.67
2023-11-23,51.17
2023-11-22,50.67
2023-11-21,97.33
2023-11-20,18.0
2023-11-17,84.0
2023-11-16,19.0
2023-11-15,971.67
2023-11-14,953.33
2023-11-13,48.33
2023-11-10,14.0
2023-11-09,953.0
2023-11-08,917.0
2023-11-07,889.0
2023-11-06,930.67
2023-11-03,915.67
2023-11-02,872.33
2023-11-01,808.33
2023-10-31,835.0
2023-10-30,842.67
2023-10-27,864.33
2023-10-26,827.0
2023-10-25,749.0
2023-10-24,745.67
2023-10-23,767.33
2023-10-20,710.33
2023-10-19,656.67
2023-10-18,638.67
2023-10-17,644.67
2023-10-16,586.67
2023-10-13,522.67
2023-10-12,498.33
2023-10-11,446.33
2023-10-10,476.67
2023-10-09,436.0
2023-10-06,469.0
2023-10-05,402.67
2023-10-04,430.33
2023-10-03,430.33
2023-10-02,499.33
2023-09-29,418.67
2023-09-28,446.67
2023-09-27,437.33
2023-09-26,498.33
2023-09-25,489.33
2023-09-22,570.67
2023-09-21,566.67
2023-09-20,573.0
2023-09-19,629.33
2023-09-18,619.0
2023-09-15,740.33
2023-09-14,725.67
2023-09-13,722.33
2023-09-12,651.67
2023-09-11,669.67
2023-09-08,656.0
2023-09-07,610.67
2023-09-06,656.67
2023-09-05,655.33
2023-09-04,634.0
2023-09-01,612.67
2023-08-31,639.67
2023-08-30,635.33
2023-08-29,588.0
2023-08-28,492.0
2023-08-25,469.0
2023-08-24,434.67
2023-08-23,418.67
2023-08-22,412.33
2023-08-21,448.67
2023-08-18,433.0
2023-08-17,480.33
2023-08-16,444.33
2023-08-15,424.0
2023-08-14,357.0
2023-08-11,334.67
2023-08-10,316.67
2023-08-09,339.0
2023-08-08,358.67
2023-08-07,487.67
2023-08-04,497.0
2023-08-03,489.0
2023-08-02,540.67
2023-08-01,547.33
2023-07-31,543.33
2023-07-28,513.67
2023-07-27,519.33
2023-07-26,543.0
2023-07-25,459.0
2023-07-24,410.0
2023-07-21,395.33
2023-07-20,389.33
2023-07-19,408.0
2023-07-18,401.67
2023-07-17,359.67
2023-07-14,335.33
2023-07-13,281.67
2023-07-12,335.67
2023-07-11,340.67
2023-07-10,329.67
2023-07-07,307.67
2023-07-06,321.67
2023-07-05,368.0
2023-07-04,380.5
2023-07-03,393.0
2023-06-30,342.33
2023-06-29,273.67
2023-06-28,341.67
2023-06-27,262.67
2023-06-26,256.67
2023-06-23,207.0
2023-06-22,206.33
2023-06-21,227.33
2023-06-20,204.33
2023-06-19,217.5
2023-06-16,230.67
2023-06-15,245.67
2023-06-14,206.67
2023-06-13,176.67
2023-06-12,132.33
2023-06-09,171.67
2023-06-08,147.67
2023-06-07,94.0
2023-06-06,51.0
2023-06-05,58.0
2023-06-02,32.67
2023-06-01,16.0
2023-05-31,8.67
2023-05-30,17.33
2023-05-26,5.67
2023-05-25,18.67
2023-05-24,20.67
2023-05-23,18.0
2023-05-22,891.64
2023-05-19,68.67
2023-05-18,990.67
2023-05-17,3.67
2023-05-16,988.0
2023-05-15,981.0
2023-05-12,987.67
2023-05-11,11.33
2023-05-10,28.0
2023-05-09,7.0
2023-05-08,964.0
2023-05-05,946.0
2023-05-04,922.67
2023-05-03,869.0
2023-05-02,895.0
2023-05-01,932.0
2023-04-28,936.33
2023-04-27,912.67
2023-04-26,938.0
2023-04-25,912.33
2023-04-24,957.67
2023-04-21,965.67
2023-04-20,938.67
2023-04-19,956.33
2023-04-18,949.0
2023-04-17,901.67
2023-04-14,915.67
2023-04-13,941.0
2023-04-12,893.0
2023-04-11,923.33
2023-04-10,874.67
2023-04-06,884.33
2023-04-05,884.67
2023-04-04,891.33
2023-04-03,842.67
2023-03-31,895.33
2023-03-30,892.67
2023-03-29,852.67
2023-03-28,874.67
2023-03-27,864.33
2023-03-24,841.33
2023-03-23,831.33
2023-03-22,832.33
2023-03-21,788.67
2023-03-20,767.0
2023-03-17,719.67
2023-03-16,673.33
2023-03-15,618.0
2023-03-14,663.0
2023-03-13,653.0
2023-03-10,707.0
2023-03-09,730.0
2023-03-08,734.67
2023-03-07,758.0
2023-03-06,798.67
2023-03-03,762.0
2023-03-02,786.0
2023-03-01,835.67
2023-02-28,789.33
2023-02-27,753.67
2023-02-24,736.67
2023-02-23,765.67
2023-02-22,771.0
2023-02-21,772.67
2023-02-20,766.83
2023-02-17,761.0
2023-02-16,734.0
2023-02-15,717.67
2023-02-14,657.0
2023-02-13,649.33
2023-02-10,603.0
2023-02-09,604.33
2023-02-08,602.67
2023-02-07,603.0
2023-02-06,607.33
2023-02-03,607.67
2023-02-02,623.33
2023-02-01,616.33
2023-01-31,616.0
2023-01-30,646.0
2023-01-27,647.67
2023-01-26,649.0
2023-01-25,616.0
2023-01-24,610.33
2023-01-23,621.33
2023-01-20,589.0
2023-01-19,581.33
2023-01-18,635.0
2023-01-17,657.0
2023-01-16,655.67
2023-01-13,654.33
2023-01-12,652.67
2023-01-11,644.0
2023-01-10,618.67
2023-01-09,693.67
2023-01-06,611.67
2023-01-05,623.67
2023-01-04,607.0
2023-01-03,572.67
2022-12-30,601.33
2022-12-29,576.67
2022-12-28,620.33
2022-12-27,631.33
2022-12-23,629.33
2022-12-22,606.0
2022-12-21,535.33
2022-12-20,502.67
2022-12-19,500.0
2022-12-16,478.67
2022-12-15,525.33
2022-12-14,531.33
2022-12-13,527.67
2022-12-12,506.33
2022-12-09,506.67
2022-12-08,541.33
2022-12-07,502.0
2022-12-06,488.67
2022-12-05,482.33
2022-12-02,541.67
2022-12-01,530.67
2022-11-30,498.33
2022-11-29,479.67
2022-11-28,490.67
2022-11-25,482.0
2022-11-24,463.33
2022-11-23,444.67
2022-11-22,451.0
2022-11-21,453.33
2022-11-18,458.67
2022-11-17,452.0
