date,precipitation,soil_moisture
2014-01-01,2.95,0.44
2014-01-02,2.73,0.44
2014-01-03,1.6,0.44
2014-01-04,0.01,0.44
2014-01-05,0.0,0.43
2014-01-06,0.0,0.42
2014-01-07,0.0,0.42
2014-01-08,0.0,0.42
2014-01-09,0.0,0.41
2014-01-10,0.0,0.41
2014-01-11,0.29,0.41
2014-01-12,0.27,0.41
2014-01-13,0.02,0.41
2014-01-14,0.0,0.41
2014-01-15,0.0,0.41
2014-01-16,0.01,0.41
2014-01-17,0.48,0.41
2014-01-18,0.91,0.41
2014-01-19,1.33,0.41
2014-01-20,0.45,0.41
2014-01-21,0.3,0.41
2014-01-22,0.23,0.41
2014-01-23,0.32,0.41
2014-01-24,0.3,0.41
2014-01-25,0.45,0.41
2014-01-26,0.75,0.41
2014-01-27,0.32,0.4
2014-01-28,0.01,0.4
2014-01-29,0.32,0.4
2014-01-30,1.3,0.4
2014-01-31,12.76,0.41
2014-02-01,1.83,0.42
2014-02-02,0.0,0.42
2014-02-03,0.0,0.41
2014-02-04,0.02,0.41
2014-02-05,0.01,0.41
2014-02-06,0.05,0.41
2014-02-07,0.58,0.41
2014-02-08,3.91,0.41
2014-02-09,4.3,0.41
2014-02-10,1.05,0.41
2014-02-11,0.8,0.41
2014-02-12,0.38,0.41
2014-02-13,0.94,0.41
2014-02-14,1.46,0.41
2014-02-15,4.17,0.41
2014-02-16,3.38,0.41
2014-02-17,6.86,0.42
2014-02-18,7.18,0.44
2014-02-19,7.51,0.45
2014-02-20,0.0,0.45
2014-02-21,0.0,0.44
2014-02-22,0.0,0.43
2014-02-23,0.0,0.42
2014-02-24,0.08,0.41
2014-02-25,1.13,0.41
2014-02-26,0.91,0.41
2014-02-27,1.48,0.41
2014-02-28,1.43,0.41
2014-03-01,0.04,0.41
2014-03-02,0.0,0.41
2014-03-03,0.0,0.4
2014-03-04,0.99,0.4
2014-03-05,6.63,0.41
2014-03-06,6.66,0.41
2014-03-07,0.89,0.41
2014-03-08,1.03,0.41
2014-03-09,1.18,0.41
2014-03-10,1.05,0.41
2014-03-11,0.95,0.41
2014-03-12,5.2,0.41
2014-03-13,4.06,0.42
2014-03-14,5.82,0.42
2014-03-15,4.19,0.43
2014-03-16,10.46,0.44
2014-03-17,5.91,0.45
2014-03-18,3.13,0.45
2014-03-19,3.85,0.45
2014-03-20,9.06,0.45
2014-03-21,5.22,0.46
2014-03-22,3.61,0.46
2014-03-23,2.54,0.46
2014-03-24,3.71,0.45
2014-03-25,2.81,0.45
2014-03-26,1.96,0.45
2014-03-27,5.12,0.45
2014-03-28,6.12,0.45
2014-03-29,2.83,0.45
2014-03-30,4.17,0.45
2014-03-31,6.08,0.45
2014-04-01,2.93,0.45
2014-04-02,3.63,0.45
2014-04-03,5.87,0.45
2014-04-04,3.17,0.45
2014-04-05,8.13,0.46
2014-04-06,5.04,0.47
2014-04-07,8.63,0.47
2014-04-08,6.17,0.48
2014-04-09,6.47,0.48
2014-04-10,6.81,0.48
2014-04-11,7.82,0.48
2014-04-12,5.97,0.48
2014-04-13,9.66,0.49
2014-04-14,6.07,0.5
2014-04-15,3.25,0.49
2014-04-16,3.33,0.48
2014-04-17,8.2,0.48
2014-04-18,8.87,0.49
2014-04-19,6.82,0.49
2014-04-20,11.16,0.5
2014-04-21,9.11,0.51
2014-04-22,5.8,0.52
2014-04-23,9.89,0.52
2014-04-24,4.16,0.52
2014-04-25,5.53,0.52
2014-04-26,12.21,0.52
2014-04-27,10.4,0.53
2014-04-28,7.44,0.53
2014-04-29,18.6,0.54
2014-04-30,17.94,0.57
2014-05-01,3.49,0.57
2014-05-02,4.03,0.55
2014-05-03,5.15,0.55
2014-05-04,7.4,0.55
2014-05-05,4.26,0.55
2014-05-06,3.51,0.54
2014-05-07,11.5,0.54
2014-05-08,15.52,0.56
2014-05-09,14.76,0.58
2014-05-10,3.44,0.58
2014-05-11,4.47,0.57
2014-05-12,8.17,0.56
2014-05-13,3.99,0.56
2014-05-14,8.16,0.55
2014-05-15,8.77,0.56
2014-05-16,4.79,0.56
2014-05-17,5.06,0.56
2014-05-18,6.8,0.56
2014-05-19,3.56,0.55
2014-05-20,2.61,0.55
2014-05-21,6.28,0.55
2014-05-22,1.6,0.55
2014-05-23,2.78,0.54
2014-05-24,2.64,0.54
