date,cocoa_price_euro,Brent_Price,precipitation,soil_moisture
2023-12-29,160.0,77.69,0.0,0.45
2023-12-28,216.0,79.04,0.0,0.45
2023-12-26,241.0,,0.0,0.46
2023-12-22,263.67,80.23,0.0,0.47
2023-12-21,246.67,80.73,0.0,0.48
2023-12-20,254.0,81.1,0.0,0.48
2023-12-19,239.33,79.82,0.0,0.48
2023-12-18,231.33,78.89,0.0,0.48
2023-12-15,200.0,76.84,0.0,0.49
2023-12-14,214.67,77.05,0.0,0.5
2023-12-13,184.67,74.14,0.0,0.51
2023-12-12,169.33,74.11,0.0,0.51
2023-12-11,138.33,75.75,1.04,0.52
2023-12-07,162.67,74.21,0.65,0.52
2023-12-05,72.0,77.27,0.43,0.54
2023-12-04,112.67,78.16,0.69,0.55
2023-12-01,168.33,78.72,3.41,0.55
2023-11-30,241.67,81.72,3.27,0.55
2023-11-29,230.0,82.98,5.76,0.55
2023-11-28,168.33,81.66,3.56,0.55
2023-11-27,99.0,79.49,1.46,0.56
2023-11-24,51.67,79.82,1.36,0.52
2023-11-23,51.17,80.85,1.23,0.53
2023-11-22,50.67,81.76,1.6,0.53
2023-11-21,97.33,82.42,0.55,0.54
2023-11-20,18.0,83.25,0.51,0.54
2023-11-17,84.0,81.22,2.59,0.54
2023-11-16,19.0,77.73,2.91,0.55
2023-11-15,971.67,82.4,1.7,0.55
2023-11-14,953.33,84.2,2.37,0.55
2023-11-13,48.33,84.09,2.33,0.56
2023-11-10,14.0,83.66,5.02,0.56
2023-11-09,953.0,81.74,3.09,0.56
2023-11-08,917.0,81.46,8.01,0.56
2023-11-07,889.0,83.43,10.81,0.55
2023-11-06,930.67,87.31,1.0,0.54
2023-11-03,915.67,87.55,1.8,0.55
2023-11-02,872.33,89.02,0.9,0.55
2023-11-01,808.33,86.92,1.49,0.55
2023-10-31,835.0,86.82,3.55,0.55
2023-10-30,842.67,90.73,2.51,0.55
2023-10-27,864.33,90.73,1.05,0.57
2023-10-26,827.0,88.45,1.04,0.58
2023-10-25,749.0,90.14,0.86,0.59
2023-10-24,745.67,88.0,3.44,0.59
2023-10-23,767.33,91.88,4.68,0.58
2023-10-20,710.33,93.72,3.38,0.59
2023-10-19,656.67,93.12,3.21,0.6
2023-10-18,638.67,91.99,1.47,0.61
2023-10-17,644.67,92.52,5.63,0.61
2023-10-16,586.67,90.99,6.68,0.61
2023-10-13,522.67,94.33,1.54,0.62
2023-10-12,498.33,88.4,8.53,0.62
2023-10-11,446.33,87.58,3.47,0.62
2023-10-10,476.67,90.7,2.69,0.64
2023-10-09,436.0,91.37,35.26,0.65
2023-10-06,469.0,87.86,5.82,0.56
2023-10-05,402.67,88.28,2.4,0.57
2023-10-04,430.33,89.83,4.8,0.57
2023-10-03,430.33,94.46,8.04,0.56
2023-10-02,499.33,91.21,4.77,0.55
2023-09-29,418.67,95.86,2.02,0.55
2023-09-28,446.67,96.64,1.93,0.56
2023-09-27,437.33,97.1,1.55,0.56
2023-09-26,498.33,94.46,2.15,0.57
2023-09-25,489.33,94.01,1.95,0.58
2023-09-22,570.67,93.99,2.33,0.58
2023-09-21,566.67,93.7,4.02,0.58
2023-09-20,573.0,94.56,2.22,0.58
2023-09-19,629.33,96.11,1.02,0.59
2023-09-18,619.0,95.95,2.94,0.59
2023-09-15,740.33,95.55,1.85,0.59
2023-09-14,725.67,95.2,1.21,0.6
2023-09-13,722.33,93.04,1.53,0.6
2023-09-12,651.67,93.58,5.6,0.61
2023-09-11,669.67,91.97,1.47,0.62
2023-09-08,656.0,91.85,3.98,0.56
2023-09-07,610.67,91.16,0.35,0.56
2023-09-06,656.67,91.79,1.12,0.57
2023-09-05,655.33,91.25,2.12,0.58
2023-09-04,634.0,90.42,1.49,0.58
2023-09-01,612.67,89.98,4.34,0.58
2023-08-31,639.67,87.29,1.79,0.59
2023-08-30,635.33,86.62,2.51,0.59
2023-08-29,588.0,86.37,5.61,0.58
2023-08-28,492.0,,0.38,0.58
2023-08-25,469.0,85.42,0.32,0.59
2023-08-24,434.67,84.07,1.02,0.61
2023-08-23,418.67,83.94,5.35,0.61
2023-08-22,412.33,84.7,2.84,0.61
2023-08-21,448.67,85.44,4.27,0.62
2023-08-18,433.0,85.92,20.36,0.62
2023-08-17,480.33,85.24,3.26,0.59
2023-08-16,444.33,84.49,1.37,0.6
2023-08-15,424.0,86.28,0.77,0.61
2023-08-14,357.0,87.4,2.41,0.62
2023-08-11,334.67,87.93,1.98,0.61
2023-08-10,316.67,87.44,8.16,0.61
2023-08-09,339.0,89.31,10.19,0.6
2023-08-08,358.67,88.0,2.76,0.59
2023-08-07,487.67,86.47,1.32,0.59
2023-08-04,497.0,87.38,2.08,0.62
2023-08-03,489.0,86.19,11.83,0.62
2023-08-02,540.67,84.01,5.86,0.61
2023-08-01,547.33,85.34,3.98,0.6
2023-07-31,543.33,85.22,5.85,0.6
2023-07-28,513.67,84.49,2.57,0.59
2023-07-27,519.33,84.28,1.7,0.59
2023-07-26,543.0,82.98,0.94,0.59
2023-07-25,459.0,83.46,1.94,0.6
2023-07-24,410.0,82.53,2.12,0.6
2023-07-21,395.33,81.06,1.92,0.61
2023-07-20,389.33,79.62,1.66,0.62
2023-07-19,408.0,79.38,2.76,0.62
2023-07-18,401.67,79.54,1.42,0.62
2023-07-17,359.67,77.8,8.44,0.62
2023-07-14,335.33,79.9,5.65,0.62
2023-07-13,281.67,81.31,4.21,0.62
2023-07-12,335.67,80.35,1.59,0.62
2023-07-11,340.67,79.54,3.98,0.62
2023-07-10,329.67,77.83,2.82,0.62
2023-07-07,307.67,78.77,3.48,0.63
2023-07-06,321.67,76.72,12.23,0.63
2023-07-05,368.0,76.74,8.19,0.62
2023-07-04,380.5,76.23,14.26,0.62
2023-07-03,393.0,74.52,8.79,0.6
2023-06-30,342.33,74.51,1.12,0.61
2023-06-29,273.67,73.86,4.14,0.62
2023-06-28,341.67,73.64,3.48,0.62
2023-06-27,262.67,71.88,6.59,0.62
2023-06-26,256.67,73.86,7.69,0.62
2023-06-23,207.0,73.56,7.61,0.65
2023-06-22,206.33,73.93,6.52,0.66
2023-06-21,227.33,76.92,42.11,0.62
2023-06-20,204.33,75.79,15.54,0.59
2023-06-19,217.5,76.09,3.08,0.58
2023-06-16,230.67,76.76,3.28,0.59
2023-06-15,245.67,75.75,2.24,0.6
2023-06-14,206.67,73.39,4.75,0.62
2023-06-13,176.67,74.24,0.99,0.63
2023-06-12,132.33,71.8,2.73,0.66
2023-06-09,171.67,74.74,5.79,0.59
2023-06-08,147.67,75.88,5.68,0.6
2023-06-07,94.0,76.85,10.44,0.6
2023-06-06,51.0,76.22,12.88,0.6
2023-06-05,58.0,76.61,7.75,0.59
2023-06-02,32.67,76.0,13.96,0.59
2023-06-01,16.0,74.18,11.45,0.58
2023-05-31,8.67,71.98,12.09,0.56
2023-05-30,17.33,73.38,3.96,0.55
2023-05-26,5.67,76.33,3.14,0.59
2023-05-25,18.67,75.66,19.32,0.59
2023-05-24,20.67,77.99,9.11,0.58
2023-05-23,18.0,76.66,28.58,0.56
2023-05-22,891.64,75.77,8.57,0.54
2023-05-19,68.67,75.42,7.54,0.52
2023-05-18,990.67,75.75,3.42,0.52
2023-05-17,3.67,76.98,0.44,0.54
2023-05-16,988.0,75.15,3.73,0.55
2023-05-15,981.0,75.46,31.46,0.52
2023-05-12,987.67,74.54,1.95,0.48
2023-05-11,11.33,75.32,1.09,0.48
2023-05-10,28.0,76.7,4.6,0.48
2023-05-09,7.0,77.76,0.78,0.48
2023-05-08,964.0,,1.49,0.48
2023-05-05,946.0,75.85,3.67,0.49
2023-05-04,922.67,73.0,2.26,0.49
2023-05-03,869.0,72.91,2.51,0.5
2023-05-02,895.0,76.71,0.64,0.5
2023-05-01,932.0,,4.61,0.51
2023-04-28,936.33,81.32,1.85,0.51
2023-04-27,912.67,80.11,1.11,0.52
2023-04-26,938.0,79.19,6.6,0.52
2023-04-25,912.33,82.13,3.72,0.52
2023-04-24,957.67,84.23,9.6,0.51
2023-04-21,965.67,83.36,0.88,0.51
2023-04-20,938.67,83.29,3.79,0.52
2023-04-19,956.33,85.34,7.32,0.51
2023-04-18,949.0,85.48,6.8,0.5
2023-04-17,901.67,85.63,5.51,0.5
2023-04-14,915.67,87.31,2.21,0.48
2023-04-13,941.0,86.51,1.87,0.48
2023-04-12,893.0,88.31,0.43,0.48
2023-04-11,923.33,87.32,0.74,0.49
2023-04-10,874.67,,1.04,0.5
2023-04-06,884.33,86.56,0.73,0.52
2023-04-05,884.67,85.89,0.82,0.52
2023-04-04,891.33,85.7,1.48,0.52
2023-04-03,842.67,85.81,1.93,0.53
2023-03-31,895.33,79.19,2.94,0.55
2023-03-30,892.67,78.45,6.87,0.56
2023-03-29,852.67,77.51,3.15,0.56
2023-03-28,874.67,78.07,4.51,0.57
2023-03-27,864.33,76.8,11.63,0.56
2023-03-24,841.33,73.63,6.21,0.59
2023-03-23,831.33,74.31,17.01,0.59
2023-03-22,832.33,76.08,17.89,0.55
2023-03-21,788.67,74.78,11.22,0.54
2023-03-20,767.0,72.42,2.14,0.54
2023-03-17,719.67,71.03,13.26,0.49
2023-03-16,673.33,73.12,1.35,0.48
2023-03-15,618.0,74.3,1.75,0.49
2023-03-14,663.0,76.77,1.5,0.5
2023-03-13,653.0,79.67,0.31,0.51
2023-03-10,707.0,82.3,3.19,0.52
2023-03-09,730.0,81.0,1.76,0.52
2023-03-08,734.67,82.1,0.56,0.53
2023-03-07,758.0,,1.92,0.54
2023-03-06,798.67,85.86,6.94,0.55
2023-03-03,762.0,85.74,6.33,0.49
2023-03-02,786.0,84.15,13.26,0.48
2023-03-01,835.67,83.68,3.82,0.47
2023-02-28,789.33,83.21,1.9,0.46
2023-02-27,753.67,81.24,1.25,0.46
